Bronx Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3037,98,,C0,2141 WASHINGTON AVENUE,,10457,3,0,3,"2,670","2,974",1899,1,C0,"549,855",12/24/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3039,13,,C0,456 EAST 185 STREET,,10458,3,0,3,"1,650","1,344",1910,1,C0,"325,000",7/20/2020
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3040,13,,C0,458 EAST 187 STREET,,10458,3,0,3,"1,650","1,776",1910,1,C0,"480,000",7/9/2020
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3046,47,,C0,2063 BATHGATE AVENUE,,10457,3,0,3,"2,422","2,400",1901,1,C0,0,10/17/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3048,2,,C0,2158 BATHGATE AVENUE,,10457,3,0,3,"2,633","1,956",1901,1,C0,"170,000",12/12/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3048,5,,C0,2164 BATHGATE AVENUE,,10457,3,0,3,"2,633","2,524",1901,1,C0,10,9/21/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3050,84,,C0,2243 BATHGATE AVENUE,,10457,3,0,3,"1,562","3,168",1901,1,C0,"570,000",11/26/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3050,137,,C0,2239 BATHGATE AVENUE,,10457,3,0,3,"1,562","3,168",1901,1,C0,"899,500",7/2/2020
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3036,35,,V0,2087 WASHINGTON AVE,,10457,0,0,0,"2,099",0,,1,V0,"80,000",7/10/2020
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3050,88,,V0,2233 BATHGATE AVENUE,,10457,0,0,0,"2,336",0,,1,V0,"450,000",9/6/2019
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,2927,14,,C7,3782 3 AVENUE,,10456,12,2,14,"2,500","9,419",1931,2,C7,"1,800,000",1/29/2020
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,3031,60,,C1,4589 PARK AVENUE,,10458,25,0,25,"4,779","18,975",1912,2,C1,0,1/22/2020
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,3031,63,,C1,4585 PARK AVENUE,,10458,25,0,25,"4,787","18,975",1912,2,C1,0,1/22/2020
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,3032,4,,C1,2412 WEBSTER AVENUE,,10458,8,0,8,"4,336","9,240",1909,2,C1,"1,400,000",1/16/2020
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,3032,54,,C1,4683 PARK AVENUE,,10458,8,0,8,"4,025","9,600",1910,2,C1,"203,650",2/24/2020
2,BATHGATE,08 RENTALS - ELEVATOR APARTMENTS,2,3050,70,,D1,2277 BATHGATE AVENUE,,10457,89,0,89,"19,749","81,676",2007,2,D1,"4,463,828",1/24/2020
2,BATHGATE,22 STORE BUILDINGS,4,3045,34,,K1,510 EAST 180 STREET,,10457,0,7,7,"4,909","4,800",1931,4,K1,"2,000,000",10/11/2019
