longitude,latitude
40.723987,-73.97816654754894
40.7233839,-73.97759045037873
40.72327575,-73.9773859488208
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72310555,-73.977057129375
40.72286595,-73.9772744972093
40.72286595,-73.9772744972093
40.72325175,-73.97820285768157
40.721698599999996,-73.98343296914496
40.7217427,-73.9833852901487
40.72470715,-73.97980804826125
40.7257709,-73.97796769876032
40.7236545726801,-73.9831829868018
40.725097700000006,-73.9834970186775
40.72878835,-73.97908474398733
40.728922653061225,-73.9770030612245
40.7208628,-73.9784408
40.7208628,-73.9784408
40.721331275362324,-73.97956366666666
40.721331275362324,-73.97956366666666
40.673801741935485,-73.98516506451612
40.673801741935485,-73.98516506451612
40.723522599999995,-73.97804862880011
40.7234828,-73.97795971080943
40.7234828,-73.97795971080943
40.72344425,-73.9778473644102
40.723907749999995,-73.97780961407739
40.723907749999995,-73.97780961407739
40.72546764285714,-73.97677707142857
40.7245279,-73.98043296820195
40.64708054545455,-73.97351268181818
40.7244186,-73.98019767070605
40.72438645,-73.98011760753016
40.72438645,-73.98011760753016
40.7242497,-73.97970071397523
40.724328799999995,-73.98068165762976
40.7258135,-73.9795215
40.72560675,-73.97926815866552
40.725309949999996,-73.97938571304186
40.725604849999996,-73.97998766095472
50.04743825,15.209831066692036
40.72657235,-73.97876172682012
40.726995650000006,-73.977811449613
40.728614199999996,-73.97679723033417
40.72850510000001,-73.97654201544638
40.728614199999996,-73.97679723033417
-1.0,-1.0
40.723726850000006,-73.98308141930283
40.723726850000006,-73.98308141930283
40.7249039,-73.98218899505238
40.7249366,-73.98227048951375
40.72801045,-73.9811838
40.72822695,-73.9807328032019
40.72901885,-73.98075900348113
40.722271649999996,-73.98052241106028
40.722271649999996,-73.98052241106028
49.5851261,14.470007
40.72342824137931,-73.9849851724138
40.7232219,-73.98468148402063
40.7232795,-73.9764535
40.72627669230769,-73.97826715384616
40.72229287755102,-73.98386261224489
40.72177445,-73.97931951607941
40.72177445,-73.97931951607941
40.7240082,-73.97632842216495
40.7240082,-73.97632842216495
40.7240082,-73.97632842216495
40.72143695,-73.98249448819169
40.72454665,-73.97949107864486
40.726322999999994,-73.97998335163018
40.726322999999994,-73.97998335163018
40.726322999999994,-73.97998335163018
40.725719818181815,-73.9787785959596
40.725719818181815,-73.9787785959596
40.7223349,-73.98465034313641
40.7233364,-73.9901938
40.729277448979595,-73.98001997959183
40.729277448979595,-73.98001997959183
40.72401575,-73.98007526560926
40.725694399999995,-73.97929861440886
40.723799299999996,-73.97779371733998
40.723799299999996,-73.97779371733998
40.723799299999996,-73.97779371733998
40.723799299999996,-73.97779371733998
40.72284085,-73.98010825042128
40.724348,-73.97912679986442
40.727195800000004,-73.97838296280496
40.72876755,-73.98000541783247
40.72169945,-73.98309108671366
40.7246516,-73.9813759
40.722562100000005,-73.9841367505341
40.722562100000005,-73.9841367505341
40.725719818181815,-73.9787785959596
40.725719818181815,-73.9787785959596
40.746995999999996,-74.00411
40.74280605,-74.00334261232972
40.7401797,-74.0019721
40.7398753,-74.0027381
40.74804515,-74.0044872
40.7485171,-74.00253111356207
40.74354685,-74.00146258900182
40.7401983,-73.99992780694991
40.7402414,-73.99999945666391
40.74244565,-73.99795170181598
40.74295775,-73.99835607827058
40.7396342,-73.99574432322262
40.74791184980129,-74.00286682602542
40.744489349999995,-74.00308950048873
40.7453493,-74.00490956505128
40.74564575,-74.00282655088219
40.746725600000005,-74.0034589
40.74665685,-74.00329625
40.74665685,-74.00329625
40.74665685,-74.00329625
40.7467844,-74.00266177178509
40.746886,-74.00284161762116
40.746951949999996,-74.00299773153583
